Site,Customer,Backup,Notify,Lab,Dynamic,Version
BDC,rajeshr1,vmanjuna,Readiness Lab BDC,ECO3-2A iVE Lab,NEW,1.3
Folsom,jsutaria,ydowling,Readiness Lab FM,NA,,
Guadalajara,vhperezh,gaangulo,Readiness Lab GDC,NA,,
IDC,ychernis,orenshak,Readiness Lab IDC,NA,,
Jerusalem,orenshak,ychernis,Readiness Lab IDC,NA,,
Kulim,bteoh,pingping,Readiness Lab PG,KM6 iVE Lab,,
Austin,armandoj,armandoj,armandoj,AN4-1B AVC/SV LAB,,
Oregon,allanhaw,jcapella,jcooley,NA,,
Penang,pingping,bteoh,Readiness Lab PG,PG16 iVE Lab,,
